1150	&#1055;&#1077;&#1088;&#1077;&#1082;&#1088;&#1077;&#1089;&#1090;&#1086;&#1082; &#1084;&#1080;&#1088;&#1086;&#1074;	\N
1151	Hodder SF/Fantasy	\N
1152	Doctor Who Library	350938
1153	Spectrum Paperback	\N
1154	Non-Stop Reeks	\N
1155	dtv phantastica	\N
1157	Takeaways	\N
1161	Grandes do Noso Tempo	\N
1162	Told to the Children	283874
1165	Arbore	\N
1168	Medusa	\N
1170	Costa Oeste	\N
1172	The Everyreader library	\N
1174	Starblaze Editions	\N
1175	Studies in Science Fiction	\N
1176	Peto Xerais	\N
1180	Hobbit Presse	\N
1181	The Deptford Histories	\N
1182	Sareboe Samalem	\N
1185	Winther-Bücher	\N
1186	Library of Arkham House Novels of Fantasy and Terror	\N
1187	Cultographies	\N
1188	Writers on Writers	\N
1190	Directors' Cuts	\N
1191	Film and Culture	\N
1192	Short Cuts	\N
1193	Polygon Sigma	\N
1194	Apollo	\N
1195	Coventry romances	\N
1196	Ward Lock Educational Short Stories	\N
1199	Harper Monogram	\N
1200	Avon Romance	\N
1203	Horror-expert	\N
1204	Horror Reeks	\N
1205	Transatlantic Classics	\N
1206	Unicum Reeks	\N
1207	Fantasie en Techniek	\N
1208	Speciaal Serie	\N
1209	*M	\N
1210	Tolkien Classics Collection	\N
1212	Heritage of Literature	\N
1214	Joyas de Bolsillo	\N
1215	New Method Supplementary Reader	\N
1216	Aurora 1 Science Fiction	\N
1218	Espacio - El Mundo Futuro	\N
1220	Estrela do mar	\N
1224	Rymd-böckerna	\N
1225	Sirius Zukunftsroman	\N
1229	Nova ciencia ficción	\N
1231	*Mpact	\N
1232	Best-Sellers del Espacio	\N
1233	Saga	\N
1234	Argonauta	319761
1236	Lesbian Paranormal	\N
1237	Aussie Bites	\N
1239	Knaur-Taschenbücher	\N
1242	Atomböckerna	\N
1245	Agent Secret	\N
1246	Aussie Nibbles	\N
1247	Classic Australian SF	\N
1249	Laurel-Leaf Suspense	\N
1250	Bastei Lübbe Science Fiction Taschenbuch	\N
1252	Thorndike Press Large Print Literacy Bridge	\N
